country,year,region,income,death
Cambodia,1980,East Asia & Pacific,0,42.066
Cambodia,1981,East Asia & Pacific,0,33.832
Cambodia,1982,East Asia & Pacific,0,25.818
Cambodia,1983,East Asia & Pacific,0,19.268
Cambodia,1984,East Asia & Pacific,0,14.701
Cambodia,1985,East Asia & Pacific,0,12.246
Cambodia,1986,East Asia & Pacific,0,11.571
Cambodia,1987,East Asia & Pacific,0,11.783
Cambodia,1988,East Asia & Pacific,0,12.142
Cambodia,1989,East Asia & Pacific,0,12.392
Cambodia,1990,East Asia & Pacific,0,12.374
Cambodia,1991,East Asia & Pacific,0,12.075
Cambodia,1992,East Asia & Pacific,0,11.661
Cambodia,1993,East Asia & Pacific,0,11.26
Cambodia,1994,East Asia & Pacific,0,10.867
Cambodia,1995,East Asia & Pacific,0,10.476
Cambodia,1996,East Asia & Pacific,0,10.084
Cambodia,1997,East Asia & Pacific,0,9.691
Cambodia,1998,East Asia & Pacific,0,9.3
Cambodia,1999,East Asia & Pacific,0,8.914
Cambodia,2000,East Asia & Pacific,0,8.533
Cambodia,2001,East Asia & Pacific,0,8.161
Cambodia,2002,East Asia & Pacific,0,7.805
Cambodia,2003,East Asia & Pacific,0,7.469
Cambodia,2004,East Asia & Pacific,0,7.16
Cambodia,2005,East Asia & Pacific,0,6.886
Cambodia,2006,East Asia & Pacific,0,6.653
Cambodia,2007,East Asia & Pacific,0,6.463
Cambodia,2008,East Asia & Pacific,0,6.314
Cambodia,2009,East Asia & Pacific,0,6.202
Cambodia,2010,East Asia & Pacific,0,6.122
Cambodia,2011,East Asia & Pacific,0,6.066
Cambodia,2012,East Asia & Pacific,0,6.024
Cambodia,2013,East Asia & Pacific,0,5.989
China,1960,East Asia & Pacific,2,25.43
China,1961,East Asia & Pacific,2,14.24
China,1962,East Asia & Pacific,2,10.02
China,1963,East Asia & Pacific,2,10.04
China,1964,East Asia & Pacific,2,11.5
China,1965,East Asia & Pacific,2,9.5
China,1966,East Asia & Pacific,2,8.83
China,1967,East Asia & Pacific,2,8.43
China,1968,East Asia & Pacific,2,8.21
China,1969,East Asia & Pacific,2,8.03
China,1970,East Asia & Pacific,2,7.6
China,1971,East Asia & Pacific,2,7.32
China,1972,East Asia & Pacific,2,7.61
China,1973,East Asia & Pacific,2,7.04
China,1974,East Asia & Pacific,2,7.34
China,1975,East Asia & Pacific,2,7.32
China,1976,East Asia & Pacific,2,7.25
China,1977,East Asia & Pacific,2,6.87
China,1978,East Asia & Pacific,2,6.25
China,1979,East Asia & Pacific,2,6.21
China,1980,East Asia & Pacific,2,6.34
China,1981,East Asia & Pacific,2,6.36
China,1982,East Asia & Pacific,2,6.6
China,1983,East Asia & Pacific,2,6.9
China,1984,East Asia & Pacific,2,6.82
China,1985,East Asia & Pacific,2,6.78
China,1986,East Asia & Pacific,2,6.86
China,1987,East Asia & Pacific,2,6.72
China,1988,East Asia & Pacific,2,6.64
China,1989,East Asia & Pacific,2,6.54
China,1990,East Asia & Pacific,2,6.67
China,1991,East Asia & Pacific,2,6.7
China,1992,East Asia & Pacific,2,6.64
China,1993,East Asia & Pacific,2,6.64
China,1994,East Asia & Pacific,2,6.49
China,1995,East Asia & Pacific,2,6.57
China,1996,East Asia & Pacific,2,6.56
China,1997,East Asia & Pacific,2,6.51
China,1998,East Asia & Pacific,2,6.5
China,1999,East Asia & Pacific,2,6.46
China,2000,East Asia & Pacific,2,6.45
China,2001,East Asia & Pacific,2,6.43
China,2002,East Asia & Pacific,2,6.41
China,2003,East Asia & Pacific,2,6.4
China,2004,East Asia & Pacific,2,6.42
China,2005,East Asia & Pacific,2,6.51
China,2006,East Asia & Pacific,2,6.81
China,2007,East Asia & Pacific,2,6.93
China,2008,East Asia & Pacific,2,7.06
China,2009,East Asia & Pacific,2,7.08
China,2010,East Asia & Pacific,2,7.11
China,2011,East Asia & Pacific,2,7.14
China,2012,East Asia & Pacific,2,7.15
China,2013,East Asia & Pacific,2,7.2
Fiji,1960,East Asia & Pacific,2,11.54
Fiji,1961,East Asia & Pacific,2,11.125
Fiji,1962,East Asia & Pacific,2,10.723
Fiji,1963,East Asia & Pacific,2,10.339
Fiji,1964,East Asia & Pacific,2,9.976
Fiji,1965,East Asia & Pacific,2,9.639
Fiji,1966,East Asia & Pacific,2,9.331
Fiji,1967,East Asia & Pacific,2,9.054
Fiji,1968,East Asia & Pacific,2,8.807
Fiji,1969,East Asia & Pacific,2,8.59
Fiji,1970,East Asia & Pacific,2,8.401
Fiji,1971,East Asia & Pacific,2,8.241
Fiji,1972,East Asia & Pacific,2,8.103
Fiji,1973,East Asia & Pacific,2,7.983
Fiji,1974,East Asia & Pacific,2,7.875
Fiji,1975,East Asia & Pacific,2,7.773
Fiji,1976,East Asia & Pacific,2,7.673
Fiji,1977,East Asia & Pacific,2,7.57
Fiji,1978,East Asia & Pacific,2,7.464
Fiji,1979,East Asia & Pacific,2,7.354
Fiji,1980,East Asia & Pacific,2,7.238
Fiji,1981,East Asia & Pacific,2,7.119
Fiji,1982,East Asia & Pacific,2,7.001
Fiji,1983,East Asia & Pacific,2,6.887
Fiji,1984,East Asia & Pacific,2,6.779
Fiji,1985,East Asia & Pacific,2,6.679
Fiji,1986,East Asia & Pacific,2,6.587
Fiji,1987,East Asia & Pacific,2,6.503
Fiji,1988,East Asia & Pacific,2,6.426
Fiji,1989,East Asia & Pacific,2,6.356
Fiji,1990,East Asia & Pacific,2,6.291
Fiji,1991,East Asia & Pacific,2,6.231
Fiji,1992,East Asia & Pacific,2,6.174
Fiji,1993,East Asia & Pacific,2,6.121
Fiji,1994,East Asia & Pacific,2,6.074
Fiji,1995,East Asia & Pacific,2,6.035
Fiji,1996,East Asia & Pacific,2,6.01
Fiji,1997,East Asia & Pacific,2,6.001
Fiji,1998,East Asia & Pacific,2,6.009
Fiji,1999,East Asia & Pacific,2,6.035
Fiji,2000,East Asia & Pacific,2,6.076
Fiji,2001,East Asia & Pacific,2,6.129
Fiji,2002,East Asia & Pacific,2,6.19
Fiji,2003,East Asia & Pacific,2,6.254
Fiji,2004,East Asia & Pacific,2,6.317
Fiji,2005,East Asia & Pacific,2,6.378
Fiji,2006,East Asia & Pacific,2,6.434
Fiji,2007,East Asia & Pacific,2,6.486
Fiji,2008,East Asia & Pacific,2,6.536
Fiji,2009,East Asia & Pacific,2,6.584
Fiji,2010,East Asia & Pacific,2,6.633
Fiji,2011,East Asia & Pacific,2,6.684
Fiji,2012,East Asia & Pacific,2,6.74
Fiji,2013,East Asia & Pacific,2,6.804
Japan,1960,East Asia & Pacific,3,7.6
Japan,1961,East Asia & Pacific,3,7.4
Japan,1962,East Asia & Pacific,3,7.5
Japan,1963,East Asia & Pacific,3,7
Japan,1964,East Asia & Pacific,3,6.9
Japan,1965,East Asia & Pacific,3,7.1
Japan,1966,East Asia & Pacific,3,6.8
Japan,1967,East Asia & Pacific,3,6.7
Japan,1968,East Asia & Pacific,3,6.8
Japan,1969,East Asia & Pacific,3,6.8
Japan,1970,East Asia & Pacific,3,6.9
