year,Aruba,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Denmark,Dominican Republic,Algeria,Ecuador,"Egypt, Arab Rep.",Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guam,Guyana,"Hong Kong SAR, China",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,"Korea, Rep.",Kuwait,Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Liechtenstein,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,"Macao SAR, China",Morocco,Moldova,Madagascar,Maldives,Mexico,"Macedonia, FYR",Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Poland,Puerto Rico,"Korea, Dem. Rep.",Portugal,Paraguay,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,Somalia,South Sudan,Suriname,Slovak Republic,Slovenia,Sweden,Swaziland,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",Virgin Islands (U.S.),Vietnam,Vanuatu,Samoa,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1983,6.603,20.967,24.104,5.832,3.652,8.488,6.6,6.579,7.3,12.3,6.6,18.088,11.6,17.901,18.048,12.664,11.4,3.979,5.684,6.359,9.9,5.995,13.019,8.206,10.353,4.126,17.11,8.047,17.174,7,9.5,11.275,6.254,6.9,14.411,15.1,11.959,6.52,13.943,9.813,4.675,6.177,7.382,13,12,11.578,11.2,7.351,8.96,7.894,10.833,17.868,7.9,12.1,21.151,9.3,6.887,10,7.131,13.385,11.7,9.352,13.046,21.525,17.289,19.097,21.258,9.2,8.742,10.724,4.787,9.069,5,8.933,11.8,15.388,13.9,9.34,11.7,9.4,12.95,9.531,7,6.9,10,6.837,6.324,6.2,8,10.565,9.321,19.268,11.056,6.4,3.47,16.026,7.183,18.588,6.556,6.121,5.7,6.156,12.845,10.5,11.3,12.7,7.032,9.589,11.009,16.1,12.812,6.248,7.56,23.312,9.5,11.876,7.019,12.248,21.19,11.897,6.5,20.645,5.448,10.361,5.7,24.468,18.597,9.985,8.2,10.2,15.907,8.1,8.364,11.413,5.31,8.887,7.657,11.213,9.6,6.5,6.214,9.7,6.801,6.086,2.719,10.4,11.1,15.731,6.968,12.862,14.847,5,10.597,23.53,11.044,19.277,23.89,7.252,10.3,10.8,10.9,11.838,6.032,20.297,13.674,6.656,10.132,9.424,21.743,5.957,7.637,7.38,10.18,15.029,16.509,11.5,9.856,8.6,7.5,7.09,5.402,5.085714286,6.98,9.428,8.39,15.05,9.708,15.508,9.35
1984,6.694,20.32,24.001,5.727,3.518,8.45,6.835,6.655,7.1,11.7,6.8,17.928,11.2,17.441,17.673,12.315,11.3,3.89,5.647,6.296,10.5,5.813,12.572,8.027,10.307,4.004,16.572,7.766,17.253,7,9.1,11.213,6.13,6.82,14.141,14.904,11.855,6.403,13.595,9.529,4.569,6.291,7.309,12.8,11.8,11.378,11.2,7.194,8.305,7.611,10.44,17.558,7.8,12.6,20.852,9.2,6.779,9.9,7.033,12.896,11.4,9.355,12.776,20.867,16.725,18.839,21.125,8.9,8.639,10.428,4.765,9.07,4.7,8.52,11.6,15.112,13.8,9.084,11.521,9.1,12.514,9.202,6.6,6.7,9.5,6.906,6.149,6.2,8.3,10.352,9.177,14.701,10.788,5.9,3.305,15.762,7.156,18.464,6.298,6.004,6.7,6.185,12.524,11,11.1,13,6.863,9.145,10.9,16.002,12.364,6.1,7.557,22.735,8.8,11.611,7.05,11.967,21.148,11.614,6.6,20.186,5.347,10.08,6,24.232,18.495,9.68,8.3,10.3,15.43,8.2,7.859,11.252,5.24,8.598,7.47,11.035,10,6.6,6.197,9.7,6.768,5.924,2.595,10.3,11.6,15.297,6.604,12.744,14.174,4.8,10.798,23.58,10.611,19.112,23.603,7.24,10.1,10.5,10.9,11.456,5.779,20.09,13.367,6.389,10.066,9.309,20.404,5.919,7.641,7.1,9.84,14.919,16.54,12,9.844,8.7,7.5,6.96,5.307,5.042857143,6.931,9.217,8.221,14.367,9.393,15.844,9.092
1985,6.786,19.647,23.892,5.633,3.391,8.423,7.11,6.732,6.6,11.8,6.8,17.813,11.3,16.953,17.407,11.944,12,3.803,5.61,6.328,10.1,5.659,12.156,7.842,10.242,3.91,16.046,7.512,17.392,7,9.2,11.154,6.022,6.78,13.915,14.723,11.794,6.321,13.232,9.253,4.481,6.409,7.244,12.7,12,11.156,11.4,7.035,7.744,7.346,10.046,17.207,8.1,12.7,20.449,9.8,6.679,9.8,6.936,12.443,11.9,9.341,12.486,20.186,16.2,18.556,20.977,9.4,8.546,10.127,4.749,9.1,4.6,8.129,11.1,14.793,13.9,8.84,11.349,9.4,11.83,8.748,6.8,6.6,9.7,6.982,5.969,6.2,8,10.187,9.02,12.246,10.512,5.9,3.151,15.459,7.121,18.385,6.067,5.934,6.4,6.243,12.211,11.1,11,13.2,6.647,8.72,10.738,15.955,11.908,5.966,7.538,22.188,8.4,11.345,7.086,11.655,21.092,11.367,6.8,19.736,5.249,9.818,5.8,24.022,18.438,9.349,8.5,10.7,14.946,8.4,7.386,11.081,5.176,8.335,7.286,10.924,10.3,7.1,6.162,9.7,6.726,5.797,2.484,10.8,11.3,15.578,6.276,12.622,13.536,4.9,11.028,23.739,10.098,19.012,23.255,7.219,10.2,10.2,11.3,11.094,5.543,19.901,13.084,6.133,9.997,9.206,19.239,5.887,7.635,6.862,9.516,14.831,16.594,11.794,9.842,8.7,7.2,6.856,5.21,5,6.856,9.025,8.056,13.731,9.099,16.246,8.903
1986,6.874,18.956,23.787,5.567,3.265,8.403,7.411,6.811,7.3,11.5,6.7,17.777,11.3,16.441,17.241,11.554,11.6,3.716,5.575,6.566,9.7,5.543,11.771,7.654,10.157,3.838,15.523,7.293,17.581,7.2,9.2,11.094,5.927,6.86,13.733,14.553,11.784,6.273,12.87,8.991,4.409,6.529,7.184,12.8,11.9,10.944,11.3,6.874,7.282,7.101,9.664,16.824,8.1,11.7,19.979,9.6,6.587,9.7,6.842,12.039,11.7,9.324,12.174,19.498,15.726,18.254,20.803,9.2,8.48,9.825,4.739,9.158,4.7,7.77,11,14.445,13.8,8.611,11.182,9.5,10.958,8.204,6.6,6.8,9.6,7.065,5.785,6.2,7.4,10.061,8.863,11.571,10.239,5.8,3.013,15.112,7.078,18.346,5.861,5.924,6.9,6.312,11.873,10,10.8,12,6.399,8.323,10.558,15.923,11.435,5.842,7.522,21.675,8.3,11.082,7.123,11.322,21.012,11.154,6.6,19.323,5.156,9.572,5.7,23.816,18.415,8.991,8.6,10.5,14.453,8.3,6.945,10.897,5.118,8.095,7.112,10.854,10.1,7.2,6.09,9.5,6.674,5.704,2.388,10.6,10.4,17.099,5.985,12.498,12.951,4.6,11.228,24.021,9.533,19.016,22.842,7.191,10.2,9.9,11.1,10.743,5.323,19.736,12.824,5.912,9.936,9.116,18.28,5.868,7.62,6.655,9.212,14.777,16.679,11.1,9.844,8.7,7.1,6.778,5.115,5,6.755,8.844,7.893,13.163,8.821,16.708,8.793
1987,6.949,18.264,23.693,5.54,3.14,8.382,7.714,6.893,7.5,11.2,6.7,17.829,10.7,15.921,17.142,11.162,12,3.63,5.544,7.058,9.9,5.466,11.415,7.473,10.058,3.773,14.998,7.122,17.807,7.2,9.3,11.029,5.842,6.72,13.601,14.392,11.828,6.25,12.524,8.747,4.348,6.651,7.129,12.3,11.6,10.776,11.3,6.715,6.906,6.872,9.306,16.424,8,11.8,19.494,9.7,6.503,9.6,6.752,11.69,11.3,9.323,11.845,18.825,15.307,17.944,20.597,9.6,8.447,9.528,4.731,9.234,4.8,7.448,11.2,14.09,13.4,8.396,11.02,8.9,10.008,7.629,7,6.7,9.4,7.154,5.605,6.7,7.6,9.966,8.716,11.783,9.981,5.9,2.895,14.722,7.027,18.33,5.678,5.973,6.5,6.375,11.5,10.2,10.8,12.2,6.142,7.956,10.404,15.863,10.943,5.728,7.528,21.202,8.4,10.827,7.159,10.985,20.903,10.97,6.5,18.968,5.07,9.344,5.7,23.59,18.41,8.609,8.3,10.7,13.954,8.4,6.535,10.701,5.066,7.874,6.956,10.793,10.1,7.3,5.984,9.5,6.615,5.635,2.307,11.1,10.5,19.997,5.729,12.376,12.438,4.7,11.35,24.413,8.955,19.128,22.372,7.16,10,10,11.1,10.402,5.119,19.598,12.589,5.745,9.89,9.037,17.483,5.866,7.601,6.466,8.93,14.767,16.796,11.4,9.844,8.6,7,6.721,5.028,5,6.642,8.67,7.733,12.671,8.559,17.216,8.763
1988,7.007,17.584,23.611,5.558,3.016,8.355,7.998,6.978,7.2,11,6.8,17.962,10.6,15.409,17.082,10.782,12,3.547,5.52,7.795,10.1,5.426,11.084,7.303,9.951,3.705,14.467,7.015,18.053,7.3,9,10.957,5.763,6.64,13.523,14.239,11.922,6.241,12.207,8.522,4.294,6.772,7.078,12.1,11.5,10.673,11.5,6.562,6.598,6.66,8.983,16.015,8.3,11.9,19.03,9.9,6.426,9.5,6.67,11.402,11.4,9.35,11.513,18.187,14.943,17.637,20.361,9.2,8.45,9.241,4.725,9.316,4.9,7.165,11.1,13.745,13.2,8.198,10.863,9,9.08,7.078,7.3,6.6,9.5,7.245,5.432,6.5,7.7,9.897,8.588,12.142,9.743,5.6,2.8,14.294,6.969,18.315,5.515,6.077,7,6.424,11.099,10.3,10.3,12.2,5.898,7.621,10.308,15.74,10.436,5.621,7.569,20.77,7.8,10.585,7.192,10.658,20.762,10.808,6.6,18.685,4.991,9.138,5.9,23.322,18.409,8.213,8.4,10.8,13.451,8.4,6.153,10.494,5.02,7.667,6.82,10.717,9.9,7.35,5.86,9.8,6.548,5.58,2.24,11,10.7,24.116,5.504,12.257,12.008,4.9,11.358,24.888,8.404,19.33,21.858,7.132,10,9.6,11.5,10.082,4.929,19.486,12.38,5.644,9.862,8.968,16.803,5.881,7.583,6.288,8.671,14.802,16.937,11.6,9.836,8.9,6.9,6.682,4.956,4.875,6.531,8.495,7.574,12.258,8.319,17.748,8.822
1989,7.045,16.931,23.532,5.616,2.893,8.318,8.249,7.061,7.3,10.9,6.4,18.152,10.8,14.919,17.041,10.417,12,3.466,5.502,8.718,10.1,5.419,10.775,7.149,9.844,3.63,13.93,6.989,18.304,7.3,9.2,10.876,5.688,6.54,13.505,14.095,12.06,6.239,11.926,8.314,4.243,6.887,7.03,12.3,11.5,10.636,11.6,6.418,6.351,6.463,8.697,15.594,8.4,11.8,18.605,9.9,6.356,9.4,6.597,11.176,11.5,9.406,11.19,17.601,14.63,17.337,20.095,9.2,8.486,8.965,4.718,9.398,5.1,6.922,11,13.419,13.8,8.014,10.708,9.1,8.227,6.581,6.8,7.1,9.4,7.336,5.267,6.4,7.6,9.857,7.2,12.392,9.526,5.6,2.73,13.833,6.903,18.275,5.367,6.227,6.1,6.459,10.7,10.4,10.6,12.2,5.677,7.322,10.286,15.537,9.915,5.519,7.645,20.381,7.4,10.357,7.224,10.348,20.581,10.665,6.8,18.479,4.92,8.962,5.9,23,18.402,7.812,8.7,10.7,12.948,8.2,5.798,10.278,4.979,7.472,6.706,10.613,10.1,7.4,5.742,9.6,6.477,5.533,2.185,10.7,10.7,29.082,5.308,12.141,11.665,4.9,11.24,25.407,7.905,19.586,21.31,7.11,10.2,9.4,10.8,9.8,4.753,19.396,12.203,5.612,9.844,8.902,16.223,5.915,7.568,6.114,8.433,14.874,17.091,11.6,9.818,8.8,6.3,6.66,4.901,4.75,6.42,8.316,7.419,11.92,8.113,18.281,8.981
1990,7.061,16.315,23.443,5.705,2.769,8.271,8.453,7.137,7,10.8,6.1,18.348,10.4,14.471,17.005,10.066,12.5,3.387,5.495,9.673,10.7,5.442,10.486,7.013,9.747,3.547,13.39,7.067,18.547,7.3,9.5,10.789,5.617,6.67,13.563,13.965,12.237,6.234,11.687,8.12,4.195,6.988,6.988,12.5,11.6,10.651,11.9,6.289,6.154,6.281,8.446,15.147,8.6,12.4,18.221,10,6.291,9.3,6.533,11.009,11.2,9.488,10.897,17.083,14.362,17.049,19.806,9.3,8.54,8.701,4.708,9.469,5.2,6.712,10.9,13.116,14,7.845,10.552,8.9,7.494,6.162,6.7,6.8,9.6,6,5.114,6.7,7.7,9.861,7,12.374,9.325,5.6,2.689,13.342,6.826,18.168,5.234,6.409,6.8,6.499,10.354,10.8,9.9,13.1,5.489,7.061,10.343,15.24,9.388,5.418,7.747,20.041,7.8,10.146,7.252,10.058,20.35,10.538,6.6,18.354,4.856,8.824,5.4,22.615,18.385,7.42,8.6,10.9,12.453,8.1,5.47,10.057,4.941,7.284,6.615,10.481,10.2,7.3,5.689,10.3,6.403,5.486,2.143,10.6,11.2,34.043,5.135,12.026,11.414,4.8,11.002,25.921,7.481,19.821,20.74,7.096,10.3,9.3,11.1,9.587,4.592,19.322,12.071,5.646,9.825,8.831,15.709,5.962,7.56,5.6,8.213,14.973,17.248,12.1,9.788,8.6,6.1,6.656,4.862,4.625,6.307,8.133,7.267,11.645,7.955,18.8,9.267
1991,7.057,15.746,23.329,5.808,2.649,8.216,8.604,7.199,6.9,10.8,6.3,18.484,10.4,14.083,16.963,9.728,12.8,3.314,5.5,10.463,11.2,5.486,10.217,6.895,9.67,3.457,12.854,7.269,18.775,7.2,9.2,10.699,5.552,6.7,13.715,13.853,12.444,6.218,11.489,7.932,4.149,7.066,6.954,12.1,11.4,10.691,11.6,6.179,5.994,6.112,8.221,14.654,8.7,12.6,17.867,9.8,6.231,9.2,6.477,10.893,11.3,9.586,10.659,16.643,14.128,16.774,19.501,9.3,8.595,8.447,4.692,9.522,5,6.529,11.7,12.835,14,7.689,10.391,8.9,6.901,5.831,7,6.5,9.7,5.6,4.974,6.7,8,9.93,6.9,12.075,9.131,5.6,2.679,12.824,6.736,17.952,5.113,6.609,6.4,6.571,10.126,11.1,9.7,13.1,5.337,6.837,10.473,14.851,8.864,5.318,7.859,19.757,8,9.955,7.274,9.79,20.058,10.425,6.6,18.304,4.797,8.732,5.6,22.165,18.358,7.05,8.6,10.5,11.971,8,5.169,9.835,4.909,7.103,6.542,10.329,10.6,7.4,5.772,10.4,6.331,5.43,2.112,10.9,11.4,37.934,4.983,11.909,11.256,4.7,10.669,26.378,7.146,19.945,20.16,7.095,10.3,9.7,11,9.475,4.446,19.255,11.999,5.734,9.787,8.743,15.217,6.018,7.561,5.6,8.007,15.086,17.394,12.9,9.747,8.6,6.2,6.671,4.841,4.5,6.193,7.947,7.12,11.415,7.86,19.296,9.709
1992,7.037,15.223,23.172,5.906,2.534,8.155,8.706,7.243,7.1,10.6,7.1,18.512,10.4,13.759,16.91,9.401,12.6,3.247,5.516,10.935,11.3,5.542,9.967,6.793,9.617,3.368,12.331,7.6,18.984,6.9,9.1,10.61,5.494,6.64,13.96,13.765,12.666,6.188,11.324,7.744,4.106,7.119,6.929,11.7,11,10.725,11.8,6.092,5.86,5.956,8.012,14.104,8.5,13.1,17.516,9.9,6.174,9.2,6.428,10.818,11,9.687,10.487,16.277,13.914,16.509,19.193,9.5,8.631,8.199,4.671,9.555,5.3,6.361,11.3,12.57,14.3,7.545,10.226,8.7,6.427,5.575,6.6,6.4,9.6,5.5,4.846,6.9,8.1,10.073,7.2,11.661,8.933,5.4,2.697,12.288,6.633,17.615,5.005,6.807,6.1,6.693,10.067,11.2,10.3,13.5,5.213,6.648,10.651,14.393,8.354,5.217,7.962,19.522,8,9.78,7.294,9.536,19.709,10.325,6.5,18.304,4.742,8.693,5.2,21.662,18.324,6.711,8.6,10.4,11.508,7.85,4.893,9.616,4.881,6.928,6.48,10.176,10.3,7.6,6.026,10.1,6.261,5.363,2.092,11.6,12.2,39.965,4.849,11.787,11.174,4.7,10.29,26.734,6.892,19.896,19.583,7.109,10.1,9.7,10.9,9.486,4.317,19.184,11.991,5.856,9.714,8.631,14.705,6.075,7.572,5.5,7.81,15.19,17.512,13.4,9.698,8.5,6.5,6.704,4.831,4.5,6.076,7.76,6.977,11.207,7.842,19.757,10.307
1993,7.007,14.744,22.958,5.984,2.427,8.093,8.766,7.265,6.9,10.4,7.2,18.402,10.6,13.499,16.843,9.083,12.9,3.187,5.542,11.003,12.4,5.598,9.733,6.705,9.591,3.284,11.828,8.054,19.172,6.8,9,10.524,5.443,6.64,14.29,13.704,12.888,6.143,11.184,7.551,4.068,7.147,6.912,11.4,11.1,10.728,12.1,6.026,5.741,5.812,7.813,13.498,8.7,14.2,17.146,10.1,6.121,9.2,6.386,10.77,11.4,9.778,10.384,15.978,13.708,16.255,18.895,9.3,8.636,7.956,4.645,9.564,5.2,6.202,11.1,12.314,14.5,7.411,10.056,9,6.053,5.381,6.6,6.6,9.7,5.7,4.73,7.1,9.2,10.288,7.7,11.26,8.723,5.2,2.738,11.745,6.518,17.163,4.908,6.987,5.9,6.866,10.213,12.5,9.8,15.3,5.11,6.488,10.852,13.891,7.868,5.117,8.042,19.326,7.4,9.62,7.32,9.29,19.317,10.235,6.8,18.328,4.69,8.712,5.2,21.118,18.284,6.411,9,10.8,11.067,7.6,4.642,9.405,4.857,6.758,6.424,10.033,10.2,7.8,6.453,10.6,6.196,5.285,2.078,11.6,14.5,39.717,4.73,11.658,11.145,4.6,9.906,26.955,6.707,19.643,19.022,7.136,9.9,10,11.1,9.634,4.202,19.101,12.041,5.992,9.598,8.497,14.144,6.127,7.594,5.7,7.618,15.269,17.584,14.2,9.647,8.8,6.6,6.754,4.831,4.675,5.959,7.577,6.841,11.002,7.913,20.164,11.042
1994,6.975,14.308,22.678,6.034,2.328,8.032,8.787,7.264,7.1,10.2,7.3,18.151,10.3,13.297,16.75,8.775,13.2,3.133,5.575,10.67,12.6,5.645,9.513,6.629,9.592,3.206,11.35,8.621,19.33,7.2,8.9,10.439,5.399,6.49,14.687,13.669,13.097,6.082,11.063,7.352,4.034,7.152,6.903,11.4,10.9,10.692,11.7,5.982,5.631,5.678,7.621,12.849,8.6,15.2,16.751,9.4,6.074,9.1,6.351,10.744,10.8,9.855,10.349,15.74,13.501,16.011,18.612,9.3,8.607,7.717,4.616,9.548,5,6.048,10.6,12.068,14.2,7.288,9.882,8.6,5.775,5.243,6.5,6.5,9.7,5.5,4.625,7.1,9.6,10.564,8.3,10.867,8.499,5.4,2.797,11.205,6.392,16.615,4.82,7.138,6.8,7.075,10.577,12.7,9.4,16.6,5.028,6.356,11.065,13.358,7.409,5.019,8.097,19.157,7.3,9.474,7.362,9.052,18.896,10.153,6.7,18.355,4.639,8.796,5.6,20.54,18.236,6.152,8.7,10.2,10.653,7.48,4.414,9.203,4.838,6.594,6.371,9.903,10,7.7,7.024,9.9,6.135,5.197,2.069,11.7,15.7,37.2,4.619,11.52,11.15,4.7,9.536,27.017,6.587,19.187,18.487,7.176,9.6,9.7,10.5,9.921,4.1,19.003,12.139,6.131,9.435,8.345,13.523,6.17,7.628,5.7,7.429,15.307,17.591,14.7,9.596,8.8,6.6,6.817,4.839,4.85,5.844,7.395,6.713,10.787,8.084,20.494,11.885
1995,6.944,13.913,22.316,6.047,2.239,7.976,8.773,7.237,6.9,10.2,6.7,17.78,10.3,13.14,16.623,8.479,13.6,3.082,5.608,10.022,13.1,5.674,9.307,6.565,9.621,3.134,10.897,9.293,19.454,7.1,9,10.352,5.357,6.57,15.135,13.664,13.284,6.009,10.957,7.147,4.005,7.139,6.899,11.4,10.8,10.622,12.1,5.957,5.528,5.553,7.441,12.182,8.8,14.5,16.326,9.6,6.035,9.1,6.324,10.742,11.1,9.914,10.372,15.563,13.288,15.781,18.353,9.4,8.547,7.482,4.587,9.509,5.1,5.899,10.9,11.837,14.1,7.175,9.706,8.9,5.581,5.155,7.2,6.3,9.8,6.2,4.531,7.41,10.2,10.884,8.2,10.476,8.264,5.3,2.866,10.677,6.256,16.023,4.741,7.253,7.3,7.279,11.179,12.5,9.3,15.7,4.967,6.251,11.281,12.809,6.978,4.926,8.129,18.993,7.3,9.341,7.44,8.818,18.472,10.076,6.7,18.363,4.59,8.971,5.3,19.938,18.177,5.936,8.8,10.4,10.269,7.49,4.209,9.007,4.823,6.436,6.319,9.784,10,8.1,7.665,10.3,6.078,5.104,2.063,12,15,32.886,4.515,11.371,11.164,4.8,9.191,26.902,6.52,18.571,17.985,7.228,9.8,9.5,10.6,10.359,4.01,18.889,12.266,6.263,9.223,8.184,12.843,6.202,7.674,5.8,7.242,15.295,17.513,15.4,9.548,8.8,6.4,6.892,4.852,5.025,5.736,7.212,6.591,10.555,8.378,20.717,12.804
1996,6.922,13.556,21.863,6.02,2.16,7.927,8.731,7.183,7,10.2,6.2,17.334,10.3,13.009,16.458,8.196,14,3.032,5.632,9.215,13,5.68,9.112,6.512,9.675,3.067,10.468,10.055,19.546,7.3,8.9,10.256,5.312,6.56,15.611,13.691,13.442,5.928,10.861,6.936,3.981,7.118,6.895,10.9,10.8,10.53,11.6,5.948,5.434,5.438,7.28,11.529,8.9,13.4,15.873,9.6,6.01,9.1,6.306,10.768,10.9,9.952,10.436,15.446,13.068,15.565,18.125,9.4,8.467,7.253,4.562,9.452,5,5.76,11.1,11.625,13.9,7.074,9.532,8.7,5.456,5.104,7,6.1,9.7,6.7,4.444,7.1,10.4,11.227,7.6,10.084,8.022,5.2,2.937,10.17,6.113,15.461,4.669,7.331,7.4,7.422,12.025,11.9,9.4,14,4.924,6.171,11.492,12.255,6.571,4.842,8.147,18.815,7.4,9.219,7.58,8.585,18.073,10.005,6.8,18.334,4.544,9.268,5.2,19.317,18.105,5.756,8.9,10,9.913,7.57,4.026,8.813,4.81,6.283,6.27,9.67,10,8,8.274,10.6,6.023,5.014,2.056,12.7,14.2,27.619,4.414,11.214,11.165,5.1,8.869,26.613,6.491,17.864,17.519,7.29,9.5,9.4,10.6,10.954,3.929,18.765,12.397,6.385,8.966,8.029,12.122,6.224,7.733,5.5,7.056,15.227,17.328,15.2,9.507,8.8,6.2,6.977,4.87,5.2,5.637,7.025,6.476,10.304,8.818,20.809,13.765
1997,6.911,13.227,21.326,5.962,2.089,7.886,8.671,7.108,7,10,6,16.874,10.2,12.883,16.257,7.93,14.7,2.98,5.645,8.447,13.4,5.663,8.928,6.469,9.744,3.003,10.058,10.88,19.606,7.2,8.9,10.146,5.262,6.51,16.087,13.744,13.57,5.847,10.773,6.726,3.963,7.097,6.888,10.9,10.5,10.437,11.3,5.949,5.357,5.331,7.144,10.92,8.8,13.3,15.398,9.6,6.001,9.1,6.298,10.825,10.8,9.976,10.517,15.374,12.844,15.363,17.922,9.3,8.383,7.03,4.544,9.382,4.9,5.637,11.5,11.435,13.5,6.985,9.361,8.6,5.378,5.077,6.8,6.2,9.8,5.9,4.364,7.3,10.2,11.565,7.4,9.691,7.78,5.2,3.004,9.686,5.965,14.981,4.605,7.38,7.4,7.466,13.06,11.5,9.4,13.8,4.898,6.117,11.698,11.707,6.182,4.769,8.165,18.606,7.6,9.106,7.79,8.352,17.722,9.938,7,18.26,4.501,9.682,5,18.685,18.017,5.604,8.7,10.1,9.584,7.26,3.864,8.618,4.8,6.138,6.224,9.554,9.8,7.7,8.758,10.4,5.966,4.936,2.048,12.4,13.8,22.471,4.315,11.048,11.138,4.1,8.559,26.182,6.484,17.16,17.084,7.358,9.7,9.5,10.6,11.673,3.856,18.637,12.509,6.5,8.678,7.896,11.395,6.238,7.805,5.6,6.876,15.107,17.038,14.9,9.474,8.7,5.8,7.069,4.893,5.3,5.552,6.832,6.367,10.044,9.396,20.761,14.717
1998,6.914,12.916,20.725,5.886,2.023,7.854,8.602,7.018,6.8,9.8,5.9,16.45,10.3,12.741,16.024,7.681,14.3,2.925,5.643,7.873,13.6,5.625,8.755,6.434,9.817,2.942,9.667,11.732,19.633,7.2,8.8,10.023,5.207,6.5,16.528,13.812,13.665,5.774,10.687,6.521,3.951,7.085,6.875,10.6,10.4,10.359,11,5.956,5.3,5.234,7.038,10.379,9.1,14,14.907,9.6,6.009,9.1,6.298,10.906,10.8,9.993,10.591,15.327,12.62,15.173,17.739,9.5,8.307,6.818,4.535,9.303,5,5.533,11.5,11.264,13.7,6.909,9.198,8.5,5.327,5.065,6.6,6.2,10,6.3,4.289,7.5,10.2,11.865,7.3,9.3,7.547,5.2,3.062,9.232,5.815,14.615,4.547,7.406,6.6,7.395,14.205,11.5,9.2,14.2,4.885,6.084,11.898,11.175,5.806,4.708,8.195,18.357,8,9,8.066,8.123,17.43,9.875,6.8,18.128,4.462,10.181,4.8,18.051,17.909,5.468,8.8,10,9.279,6.87,3.721,8.421,4.792,6.003,6.184,9.429,9.7,7.8,9.059,10.5,5.906,4.876,2.036,12,13.5,18.267,4.218,10.876,11.07,4.6,8.253,25.646,6.483,16.532,16.676,7.425,9.9,9.6,10.5,12.47,3.788,18.507,12.584,6.608,8.375,7.794,10.696,6.248,7.886,5.6,6.705,14.938,16.65,14.3,9.449,8.6,5.9,7.162,4.92,5,5.483,6.634,6.265,9.783,10.087,20.572,15.601
1999,6.934,12.613,20.076,5.802,1.96,7.83,8.534,6.919,6.8,9.8,5.8,16.085,10.3,12.573,15.761,7.451,13.6,2.865,5.629,7.553,14.1,5.565,8.592,6.407,9.887,2.885,9.292,12.581,19.622,7.3,8.7,9.887,5.15,6.46,16.905,13.885,13.717,5.711,10.599,6.325,3.945,7.085,6.858,10.7,10.3,10.298,11.1,5.963,5.265,5.148,6.961,9.918,9.3,13.4,14.401,9.6,6.035,9.1,6.306,11,10.8,10.009,10.641,15.285,12.396,14.994,17.566,9.5,8.244,6.617,4.536,9.215,5,5.447,11.5,11.109,14,6.843,9.043,8.7,5.289,5.061,6.9,6.1,9.8,6.8,4.217,7.8,9.8,12.103,6.8,8.914,7.329,5.2,3.105,8.812,5.665,14.359,4.495,7.408,6.4,7.217,15.385,11.4,8.8,13.7,4.88,6.069,12.089,10.671,5.447,4.66,8.242,18.062,8.1,8.902,8.398,7.899,17.202,9.814,6.8,17.929,4.431,10.722,5.2,17.423,17.774,5.346,8.9,10.1,8.995,7.33,3.595,8.223,4.786,5.879,6.149,9.294,9.9,7.7,9.164,10.6,5.845,4.835,2.02,11.8,14.6,15.333,4.122,10.698,10.95,4.5,7.955,25.026,6.48,16.011,16.292,7.487,9.7,9.5,10.7,13.294,3.724,18.374,12.612,6.707,8.07,7.726,10.041,6.254,7.976,5.7,6.543,14.718,16.175,14.8,9.432,8.64,5.368992414,7.251,4.948,5.3,5.432,6.431,6.169,9.523,10.858,20.241,16.365
